event_name,description,start_date,event_type
2008 Financial Crisis,Global financial meltdown that crashed commodity prices,2008-09-15,economic
Arab Spring,Beginnings of political unrest across oil-producing nations,2010-12-17,political
Libyan Civil War,Conflict in Libya disrupted oil supply,2011-02-15,conflict
OPEC Production Cut,OPEC agreed to cut production to stabilize prices,2016-11-30,policy
COVID-19 Pandemic Lockdowns,Global demand for oil plummeted,2020-03-11,economic
Russia-Ukraine War,Russian invasion caused price surge due to sanctions and supply risk,2022-02-24,conflict
US Shale Boom,Rapid growth in US oil production,2014-01-01,economic
Saudi Oil Facility Attack,Drone strikes on Aramco disrupted production,2019-09-14,conflict
Iran Sanctions Reinforced,US reimposed sanctions on Iranian oil exports,2018-11-05,policy
OPEC+ Formation,OPEC allied with other oil producers like Russia,2016-12-10,policy
Oil Price War (Russia-Saudi),Price war led to oil price collapse,2020-03-08,economic
Gulf War Begins,Invasion of Kuwait by Iraq caused price shock,1990-08-02,conflict
US Withdrawal from Iran Deal,Trump withdrew and imposed sanctions,2018-05-08,policy
Deepwater Horizon Spill,Massive BP oil spill in Gulf of Mexico,2010-04-20,environment
OPEC Agrees Production Freeze,Freeze to limit supply and stabilize market,2017-05-25,policy
